"Title","Grade"
"MANAGEMENTSCIENCE","S"
"HARVARDBUSINESSREVIEW","S"
"MITSLOANMANAGEMENTREVIEW","A1"
"CALIFORNIAMANAGEMENTREVIEW","A1"
"JOURNALOFBUSINESSRESEARCH","A1"
"JOURNALOFBUSINESSETHICS","A1"
"ACADEMYOFMANAGEMENTREVIEW","S"
"ACADEMYOFMANAGEMENTJOURNAL","S"
"ADMINISTRATIVESCIENCEQUARTERLY","S"
"STRATEGICMANAGEMENTJOURNAL","S"
"JOURNALOFMANAGEMENT","A1"
"PERSONNELPSYCHOLOGY","A1"
"JOURNALOFAPPLIEDPSYCHOLOGY","A1"
"ORGANIZATIONSCIENCE","A1"
"ORGANIZATIONALBEHAVIORANDHUMANDECISIONPROCESS","A1"
"JOURNALOFMANAGEMENTSTUDIES","A1"
"JOURNALOFBUSINESSVENTURING","A1"
"JOURNALOFORGANIZATIONALBEHAVIOR","A1"
"HUMANRESOURCEMANAGEMENT","A1"
"INDUSTRIALANDLABORRELATIONSREVIEW","A1"
"ORGANIZATIONSTUDIES","A1"
"THELEADERSHIPQUARTERLY","A1"
"THEACCOUNTINGREVIEW","S"
"JOURNALOFACCOUNTINGANDECONOMICS","S"
"JOURNALOFACCOUNTINGRESEARCH","S"
"REVIEWOFACCOUNTINGSTUDIES","S"
"CONTEMPORARYACCOUNTINGRESEARCH","A1"
"ACCOUNTINGORGANISATIONANDSOCIETY","A1"
"JOURNALOFACCOUNTINGANDPUBLICPOLICY","A1"
"JOURNALOFBUSINESSFINANCEANDACCOUNTING","A1"
"ACCOUNTINGHORIZONS","A1"
"AUDITINGAJOURNALOFPRACTICEANDTHEORY","A1"
"ACCOUNTINGANDBUSINESSRESEARCH","A1"
"EUROPEANACCOUNTINGREVIEW","A1"
"MANAGEMENTACCOUNTINGRESEARCH","A1"
"ABACUSAJOURNALOFACCOUNTINGFINANCEANDBUSINESSSTUDIES","A1"
"ASIAPACIFICJOURNALOFACCOUNTINGANDECONOMICS","A1"
"ACCOUNTINGANDFINANCE","A1"
"JOURNALOFINTERNATIONALFINANCIALMANAGEMENTANDACCOUNTING","A1"
"CORPORATEGOVERNANCEANINTERNATIONALREVIEW","A1"
"AUSTRALIANACCOUNTINGREVIEW","A1"
"JOURNALOFFINANCE","S"
"JOURNALOFFINANCIALECONOMICS","S"
"REVIEWOFFINANCIALSTUDIES","S"
"JOURNALOFFINANCIALANDQUANTITATIVEANALYSIS","S"
"JOURNALOFBANKINGANDFINANCE","A1"
"FINANCIALMANAGEMENT","A1"
"JOURNALOFCORPORATEFINANCE","A1"
"JOURNALOFEMPIRICALFINANCE","A1"
"JOURNALOFFINANCIALMARKETS","A1"
"JOURNALOFFINANCIALINTERMEDIATION","A1"
"JOURNALOFINTERNATIONALMONEYANDFINANCE","A1"
"FINANCIALANALYSTJOURNAL","A1"
"JOURNALOFFUTURESMARKETS","A1"
"JOURNALOFPORTFOLIOMANAGEMENT","A1"
"EUROPEANFINANCIALMANAGEMENT","A1"
"REVIEWOFFINANCE","A1"
"JOURNALOFMARKETINGRESEARCH","S"
"JOURNALCONSUMERRESEARCH","S"
"MARKETINGSCIENCE","S"
"JOURNALOFMARKETING","S"
"JOURNALOFRETAILING","A1"
"JOURNALOFPRODUCTINNOVATIONMANAGEMENT","A1"
